IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.9.10.81,010.009.010.081,SCSPA\\HQ2-JFL,HQ2-JFL.scspa.local,54bf6497bbb4,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.82,010.009.010.082,SCSPA\\HQCCLE-001,HQCCLE-001.scspa.local,b88584c07b78,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.84,010.009.010.084,SCSPA\\HQ3-NOTTADAY,HQ3-NOTTADAY.scspa.local,b88584a59883,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.85,010.009.010.085,SCSPA\\HQ4-AV001,HQ4-AV001.scspa.local,54bf648c6ad6,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.91,010.009.010.091,SCSPA\\HQ1-EMI,HQ1-EMI.scspa.local,18037329264c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.92,010.009.010.092,SCSPA\\HQ1-PP5,HQ1-PP5.scspa.local,6c2b59d79ee8,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.93,010.009.010.093,SCSPA\\HQ1-PP6,HQ1-PP6.scspa.local,6c2b59cd58fc,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.95,010.009.010.095,SCSPA\\L-HQ3-TZE,L-HQ3-TZE.scspa.local,c8f750b2d606,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.9.10.99,010.009.010.099,SCSPA\\HQ3-SC2,HQ3-SC2.scspa.local,b88584a5e46a,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Professional]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Professional,Windows 10 64-bit Professional
10.9.10.100,010.009.010.100,SCSPA\\HQ3-310,HQ3-310.scspa.local,b88584a80891,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
