IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.1.4.52,010.001.004.052,10.1.4.52,,98f2b3218df8,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.53,010.001.004.053,10.1.4.53,,98f2b3219d5a,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.54,010.001.004.054,10.1.4.54,,98f2b3212fc4,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.55,010.001.004.055,10.1.4.55,,98f2b3218da0,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.56,010.001.004.056,10.1.4.56,,98f2b3219d0e,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.57,010.001.004.057,10.1.4.57,,98f2b321bdb0,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.58,010.001.004.058,10.1.4.58,,98f2b321bd22,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.59,010.001.004.059,10.1.4.59,,20677ce4ac18,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.60,010.001.004.060,10.1.4.60,,98f2b321bd1c,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
10.1.4.61,010.001.004.061,10.1.4.61,,98f2b321bdc2,"[Information Technology, Accessory, Out Of Band Controller]",[Linux],"[HP, HP Integrated Lights Out]",,hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE,Network Device,22/tcp HP Integrated Lights-Out mpSSH 0.2.1 protocol 2.0;80/tcp Web-Based Enterprise Management CIM serverOpenPegasus WBEM httpd  ,
