Name,Device Type,IP
U-SCIP-GUARDSHACK-01,UPS,10.201.1.11
U-IPD6100-OPS-01,UPS,10.208.1.1
U-IPD-YARD-01,UPS,10.208.1.2
S-NCT5103-TP01,Temp Probe,10.4.1.9
S-NCT5102-DC-TP01,Temp Probe,10.111.1.3
S-WWT401-LANES-TP01,Temp Probe,10.5.1.13
S-WWT451-TP01,Temp Probe,10.5.1.11
S-WWT451-AW01,Temp Probe,10.5.0.250
S-IPD6100-OPS-TP01,Temp Probe,10.208.1.3
S-SCIP-GUARDSHACK-TP01,Temp Probe,10.201.1.102
S-SCIP-INTCHG-TP01,Temp Probe,10.201.1.101
S-SCIP802-OPS-TP01,Temp Probe,10.201.1.100
S-SCIP802-AW01,Temp Probe,10.201.0.250
HML-3 Switch 3,Switch,10.228.0.9
HML-24-Switch-24,Switch,10.228.0.24
HML-3 Switch 91,Switch,10.228.0.91
IPD-HML-3,Thick Ap,10.228.32.3
IPD-HML-7,Thick Ap,10.228.32.7
IPD-HML-19,Thick Ap,10.228.32.19
IPD-HML-24,Thick Ap,10.228.32.24
IPD-HML-103,Thick Ap,10.228.32.103
IPD-HML-119,Thick Ap,10.228.32.119
IPD-HML-124,Thick Ap,10.228.32.124
IPD-HML-171,Thick Ap,10.228.32.171
SCIP-INTERNET.scspa.local,Switch,72.159.158.143
X-NCT-B5102-INTERNET.scspa.local,Switch,72.159.158.150
SPA-Wando-INTERNET.scspa.local,Switch,72.159.158.152
IPD-Maintenanace-Building,Switch,10.208.0.20
CST-186-Warehouse,Switch,10.3.0.11
X-NCTP101-01,Switch,10.4.0.101
X-NCTP102-YARD_WLAN,Switch,10.4.0.102
X-NCTP103-YARD_WLAN,Switch,10.4.0.103
X-NCTP104-YARD_WLAN,Switch,10.4.0.104
X-WWTC472-CHASSIS,Switch,10.5.0.45
X-WWT401-SEC_DISTRO,Switch,10.5.0.46
X-WWT454-RFR_CANOPY,Switch,10.5.0.55
X-WWT408-BREAKROOM,Switch,10.5.0.79
X-WWTP2001-01,Switch,10.5.0.101
X-WWTP2201-01,Switch,10.5.0.102
X-WWTP2401-01,Switch,10.5.0.103
X-WWTP2701-01,Switch,10.5.0.104
X-WWTP3001-01,Switch,10.5.0.105
X-WWTP201-01,Switch,10.5.0.201
IND-Switch-WWT-202,Switch,10.5.0.202
IND-Switch-WWT-207,Switch,10.5.0.207
X-WWT451-GATE,Switch,10.35.0.40
X-WWT448-GATE-1,Switch,10.35.0.41
X-WWT448-GATE-2,Switch,10.35.0.42
X-WWT404-GATE,Switch,10.35.0.43
X-WWT406-PEDESTRIAN_GATE,Switch,10.35.0.50
X-WWT401-LANE2,Switch,10.35.0.102
X-HQ-GATE,Switch,10.39.0.11
IPD-Guard-Building,Switch,10.208.0.15
Switch-7,Switch,10.228.0.7
Pole-P-10,Switch,10.228.0.10
Switch-18,Switch,10.228.0.18
Switch-19,Switch,10.228.0.19
Switch-23,Switch,10.228.0.23
HML-24-Switch-24,Switch,10.228.0.24
Switch-119,Switch,10.228.0.119
Switch-124,Switch,10.228.0.124
Switch-171,Switch,10.228.0.171
IPD-Inbound-Sec,Switch,10.238.0.100
IPD-Outbound-Sec,Switch,10.238.0.101
